,代號,股票名稱,上市日,市場別,產業別
7917,1240,茂生農經,2018-08-08,上櫃,農業科技業
7918,1258,其祥-KY,2011-12-12,上櫃,食品工業
7919,1259,安心,2011-12-15,上櫃,觀光事業
7920,1264,德麥,2015-04-09,上櫃,食品工業
7921,1268,漢來美食,2017-09-27,上櫃,觀光事業
7922,1336,台翰,2007-11-02,上櫃,電子零組件業
7923,1565,精華,2004-03-30,上櫃,生技醫療業
7924,1569,濱川,2005-07-29,上櫃,電腦及週邊設備業
7925,1570,力肯,2005-06-30,上櫃,電機機械
7926,1580,新麥,2007-12-10,上櫃,電機機械
7927,1584,精剛,2007-11-28,上櫃,其他業
7928,1586,和勤,2012-01-09,上櫃,電機機械
7929,1591,駿吉-KY,2012-03-23,上櫃,電機機械
7930,1593,祺驊,2012-06-13,上櫃,生技醫療業
7931,1595,川寶,2011-10-04,上櫃,電子零組件業
7932,1599,宏佳騰,2012-12-25,上櫃,電機機械
7933,1742,台蠟,2004-05-14,上櫃,化學工業
7934,1777,生泰,2005-10-19,上櫃,生技醫療業
7935,1781,合世,2004-12-24,上櫃,生技醫療業
7936,1784,訊聯,2007-07-26,上櫃,生技醫療業
7937,1785,光洋科,2005-01-31,上櫃,其他電子業
7938,1788,杏昌,2009-07-20,上櫃,生技醫療業
7939,1796,金穎生技,2018-01-22,上櫃,食品工業
7940,1799,易威,2008-11-10,上櫃,生技醫療業
7941,1813,寶利徠,2009-08-04,上櫃,生技醫療業
7942,1815,富喬,2006-01-23,上櫃,電子零組件業
7943,2035,唐榮,2006-07-07,上櫃,鋼鐵工業
7944,2061,風青,2010-12-09,上櫃,電器電纜
7945,2063,世鎧,2010-09-07,上櫃,鋼鐵工業
7946,2064,晉椿,2014-12-26,上櫃,鋼鐵工業
7947,2065,世豐,2017-04-21,上櫃,鋼鐵工業
7948,2066,世德,2013-09-24,上櫃,電機機械
7949,2067,嘉鋼,2014-05-26,上櫃,電機機械
7950,2070,精湛,2018-12-17,上櫃,電機機械
7951,2221,大甲,2007-08-01,上櫃,其他業
7952,2230,泰茂,2013-04-18,上櫃,電機機械
7953,2235,謚源,2014-12-15,上櫃,電機機械
7954,2596,綠意,2009-06-01,上櫃,建材營造業
7955,2640,大車隊,2012-11-07,上櫃,其他業
7956,2641,正德,2014-10-09,上櫃,航運業
7957,2643,捷迅,2016-03-04,上櫃,航運業
7958,2718,晶悅,2011-03-29,上櫃,觀光事業
7959,2719,燦星旅,2012-02-24,上櫃,觀光事業
7960,2724,富驛-KY,2012-05-29,上櫃,觀光事業
7961,2726,雅茗-KY,2014-12-24,上櫃,觀光事業
7962,2729,瓦城,2012-09-17,上櫃,觀光事業
7963,2732,六角,2015-01-20,上櫃,觀光事業
7964,2734,易飛網,2013-12-26,上櫃,觀光事業
7965,2736,富野,2016-01-06,上櫃,觀光事業
7966,2740,天蔥,2015-12-24,上櫃,觀光事業
7967,2743,山富,2020-03-09,上櫃,觀光事業
7968,2745,五福,2018-04-16,上櫃,觀光事業
7969,2752,豆府,2019-09-25,上櫃,觀光事業
7970,2754,亞洲藏壽司,2020-09-17,上櫃,觀光事業
7971,2755,揚秦,2020-12-16,上櫃,觀光事業
7972,2756,聯發國際,2022-01-14,上櫃,觀光事業
7973,2916,滿心,2005-03-10,上櫃,貿易百貨業
7974,2924,東凌-KY,2011-12-02,上櫃,貿易百貨業
7975,2926,誠品生活,2013-01-30,上櫃,文化創意業
7976,2937,集雅社,2017-06-08,上櫃,貿易百貨業
7977,2947,振宇五金,2021-10-06,上櫃,貿易百貨業
7978,3064,泰偉,2004-06-09,上櫃,文化創意業
7979,3066,李洲,2004-12-02,上櫃,光電業
7980,3067,全域,2003-10-21,上櫃,其他電子業
7981,3071,協禧,2004-12-30,上櫃,電腦及週邊設備業
7982,3073,天方能源,2007-10-08,上櫃,半導體業
7983,3078,僑威,2005-01-31,上櫃,電子零組件業
7984,3081,聯亞,2015-07-22,上櫃,通信網路業
7985,3083,網龍,2003-12-02,上櫃,文化創意業
7986,3085,新零售,2004-03-01,上櫃,電子商務
7987,3086,華義,2004-03-29,上櫃,文化創意業
7988,3088,艾訊,2005-04-28,上櫃,電腦及週邊設備業
7989,3089,億杰,2003-10-14,上櫃,電子零組件業
7990,3093,港建,2005-06-17,上櫃,其他電子業
7991,3095,及成,2005-05-26,上櫃,通信網路業
7992,3105,穩懋,2011-12-13,上櫃,半導體業
7993,3114,好德,2004-03-25,上櫃,電子零組件業
7994,3115,寶島極,2005-04-08,上櫃,電子零組件業
